TaggedPitchType,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,EffectiveVelo,SpeedDrop,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2
Fastball,90.7691,-1.990605,-1.747845,1880.166584,217.613555,1:15,6.28194,0.89337,6.19404,-15.95635,18.18749,13.02591,3.11286,0.3647,81.5296,-5.081874,0.602797,0.42056,-7.33233,10.44902,-0.76814,50,6.12393,3.47046,-131.59272,-4.997,-12.60681,32.99485,-14.20855,89.62451,9.2395,54.30401,-132.6675,16.49743,6.27917,-4.53417,-7.10428,-0.88788,3.88111,-6.30341
Fastball,91.74994,-2.580117,-2.848575,1751.993935,228.04538,1:30,6.2573,0.61131,6.32535,-17.92946,15.07564,15.49182,2.3825,-0.72323,83.22357,-6.004352,-0.04784,0.413487,-8.91776,8.96788,-0.41015,50,6.05998,5.97755,-133.02187,-6.51133,-15.82869,31.03524,-16.25637,91.15752,8.52637,54.17406,-133.99218,15.51762,6.25561,-6.00308,-8.12819,-0.60477,6.47243,-7.91434
Fastball,93.11039,-4.940948,-3.841286,1928.214065,217.44244,1:15,6.14431,0.30281,6.30761,-12.76493,19.46131,14.03473,0.50713,-2.07172,84.62777,-7.415597,-1.309849,0.408579,-8.51756,11.97713,-0.02758,50,5.77426,8.46369,-134.54803,-11.97864,-15.49879,31.20187,-10.38017,92.25247,8.48262,54.19364,-135.51705,15.60094,6.14127,-11.65626,-5.19008,-0.2979,8.94503,-7.74939
Fastball,92.47967,-3.209367,-1.207447,2273.999174,216.733871,1:15,6.23524,0.43352,6.24641,-9.92634,23.17005,16.30347,2.44424,0.67833,82.49266,-5.219836,1.737463,0.414058,-8.91662,13.55619,-0.3516,50,5.99141,2.13355,-133.92244,-7.68423,-15.75498,36.22234,-8.2213,91.03169,9.98701,54.2518,-135.06754,18.11117,6.23023,-7.42433,-4.11065,-0.42692,2.63161,-7.87749
Curveball,80.60541,-1.300888,-1.933224,2265.207671,81.521578,8:45,5.94617,1.26876,5.96504,-43.15451,0.00799,-9.36441,1.14285,-1.30482,73.98986,-9.22195,-3.618304,0.472852,4.26284,0.77264,-1.1101,50,5.81881,4.29608,-117.01684,-4.02714,5.8633,23.73179,-31.11133,79.71306,6.61554,54.53635,-117.93326,11.8659,5.95112,-2.82576,-15.55566,-1.27162,4.06967,2.93165
Fastball,93.08296,-3.968184,-2.224475,2305.515932,201.180486,12:45,6.14026,0.46554,6.36995,-8.0013,24.33552,8.95343,1.8135,-0.83624,83.63576,-5.61697,-0.605151,0.40928,-5.38807,14.32607,-0.30869,50,5.84892,4.85512,-134.71878,-9.44429,-9.72416,34.17611,-6.31895,92.09456,9.4472,54.12783,-135.76191,17.08806,6.13424,-9.25142,-3.15948,-0.46141,5.15193,-4.86208
Fastball,91.94882,-4.377027,-0.534501,2179.233825,209.414344,1:00,6.2033,0.81384,6.40121,-10.72154,22.06533,11.79461,1.27663,1.30518,83.53483,-6.489928,1.602636,0.412118,-6.29705,13.1628,-0.78051,50,5.88363,0.75762,-133.22971,-10.40744,-11.22357,30.85957,-8.71333,91.46035,8.41399,54.09773,-134.17549,15.42978,6.19851,-10.1404,-4.35667,-0.809,1.1016,-5.61178
Fastball,91.68206,-4.509332,-2.605845,2232.943393,213.037096,1:00,6.17125,0.74703,6.45204,-13.63611,19.47694,11.88339,0.87918,-0.6584,82.98381,-7.159966,-0.452484,0.414163,-7.10296,12.00879,-0.56773,50,5.84491,5.5717,-132.68625,-10.80449,-12.49381,31.92741,-11.05109,91.00877,8.69825,54.04851,-133.65686,15.96371,6.16826,-10.46852,-5.52554,-0.74288,5.95152,-6.24691
Fastball,91.59982,-3.1477,-0.355163,2159.343702,206.458867,1:00,6.18411,0.69406,6.35469,-14.10851,19.31824,8.97666,2.1082,1.11521,82.20113,-5.903895,1.270422,0.41612,-4.73221,11.44079,-0.67192,50,5.94871,0.43625,-132.69341,-7.62264,-8.26193,33.89578,-12.19968,90.58072,9.39868,54.14015,-133.74681,16.94789,6.17971,-7.2435,-6.09984,-0.68947,0.69301,-4.13096
Fastball,92.23244,-3.710046,-2.215101,2059.091814,198.57674,12:30,6.14924,0.66276,6.46238,-12.5693,19.98603,6.33071,1.68662,-0.84538,83.6135,-6.167356,-1.067694,0.41066,-3.99701,11.9415,-0.50891,50,5.88086,4.91322,-133.64781,-8.95724,-7.15468,31.57963,-10.79858,91.78501,8.61894,54.03664,-134.59825,15.78982,6.14555,-8.63224,-5.39929,-0.66003,5.12854,-3.57734
